#
# This file contains data for mapping from IANA encoding names to their corresponding code page numbers
#
# This can be used as input to the EncodingData tool when generating EncodingTable.Data.cs
#
# Format:
#   - Fields in a mapping entry are semi-colon separated
#   - New mapping entries are delimited by a new line
#
437;437
arabic;28596
asmo-708;708
big5;950
big5-hkscs;950
ccsid00858;858
ccsid00924;20924
ccsid01140;1140
ccsid01141;1141
ccsid01142;1142
ccsid01143;1143
ccsid01144;1144
ccsid01145;1145
ccsid01146;1146
ccsid01147;1147
ccsid01148;1148
ccsid01149;1149
chinese;936
cn-big5;950
cn-gb;936
cp00858;858
cp00924;20924
cp01140;1140
cp01141;1141
cp01142;1142
cp01143;1143
cp01144;1144
cp01145;1145
cp01146;1146
cp01147;1147
cp01148;1148
cp01149;1149
cp037;37
cp1025;21025
cp1026;1026
cp1256;1256
cp273;20273
cp278;20278
cp280;20280
cp284;20284
cp285;20285
cp290;20290
cp297;20297
cp420;20420
cp423;20423
cp424;20424
cp437;437
cp500;500
cp50227;50227
cp850;850
cp852;852
cp855;855
cp857;857
cp858;858
cp860;860
cp861;861
cp862;862
cp863;863
cp864;864
cp865;865
cp866;866
cp869;869
cp870;870
cp871;20871
cp875;875
cp880;20880
cp905;20905
csbig5;950
cseuckr;51949
cseucpkdfmtjapanese;51932
csgb2312;936
csgb231280;936
csibm037;37
csibm1026;1026
csibm273;20273
csibm277;20277
csibm278;20278
csibm280;20280
csibm284;20284
csibm285;20285
csibm290;20290
csibm297;20297
csibm420;20420
csibm423;20423
csibm424;20424
csibm500;500
csibm870;870
csibm871;20871
csibm880;20880
csibm905;20905
csibmthai;20838
csiso2022jp;50221
csiso2022kr;50225
csiso58gb231280;936
csisolatin2;28592
csisolatin3;28593
csisolatin4;28594
csisolatin5;28599
csisolatin9;28605
csisolatinarabic;28596
csisolatincyrillic;28595
csisolatingreek;28597
csisolatinhebrew;28598
cskoi8r;20866
csksc56011987;949
cspc8codepage437;437
csshiftjis;932
cswindows31j;932
cyrillic;28595
din_66003;20106
dos-720;720
dos-862;862
dos-874;874
ebcdic-cp-ar1;20420
ebcdic-cp-be;500
ebcdic-cp-ca;37
ebcdic-cp-ch;500
ebcdic-cp-dk;20277
ebcdic-cp-es;20284
ebcdic-cp-fi;20278
ebcdic-cp-fr;20297
ebcdic-cp-gb;20285
ebcdic-cp-gr;20423
ebcdic-cp-he;20424
ebcdic-cp-is;20871
ebcdic-cp-it;20280
ebcdic-cp-nl;37
ebcdic-cp-no;20277
ebcdic-cp-roece;870
ebcdic-cp-se;20278
ebcdic-cp-tr;20905
ebcdic-cp-us;37
ebcdic-cp-wt;37
ebcdic-cp-yu;870
ebcdic-cyrillic;20880
ebcdic-de-273+euro;1141
ebcdic-dk-277+euro;1142
ebcdic-es-284+euro;1145
ebcdic-fi-278+euro;1143
ebcdic-fr-297+euro;1147
ebcdic-gb-285+euro;1146
ebcdic-international-500+euro;1148
ebcdic-is-871+euro;1149
